2026/09/21 20:05:02.912, 379.42 W, 600.00 W, 2880 MHz, 62, 31744 MiB
2026/09/21 20:05:03.913, 380.56 W, 600.00 W, 2887 MHz, 62, 31744 MiB
2026/09/21 20:05:04.914, 380.52 W, 600.00 W, 2887 MHz, 62, 31744 MiB
2026/09/21 20:05:05.915, 379.70 W, 600.00 W, 2887 MHz, 63, 31744 MiB
2026/09/21 20:05:06.917, 156.74 W, 600.00 W, 2887 MHz, 57, 31744 MiB
2026/09/21 20:05:07.917, 99.14 W, 600.00 W, 2887 MHz, 56, 31744 MiB
2026/09/21 20:05:08.918, 78.95 W, 600.00 W, 2542 MHz, 55, 31744 MiB
2026/09/21 20:05:09.918, 76.45 W, 600.00 W, 2542 MHz, 55, 31744 MiB
2026/09/21 20:05:10.919, 75.73 W, 600.00 W, 2542 MHz, 55, 31744 MiB
2026/09/21 20:05:11.919, 75.32 W, 600.00 W, 2542 MHz, 55, 31744 MiB
2026/09/21 20:05:12.920, 75.01 W, 600.00 W, 2542 MHz, 54, 31744 MiB
2026/09/21 20:05:13.920, 74.24 W, 600.00 W, 2542 MHz, 54, 31744 MiB
2026/09/21 20:05:14.921, 73.57 W, 600.00 W, 2542 MHz, 54, 31744 MiB
2026/09/21 20:05:15.921, 72.79 W, 600.00 W, 2542 MHz, 54, 31744 MiB
2026/09/21 20:05:16.922, 72.95 W, 600.00 W, 2542 MHz, 54, 31744 MiB
2026/09/21 20:05:17.922, 72.54 W, 600.00 W, 2542 MHz, 54, 31744 MiB
2026/09/21 20:05:18.923, 72.73 W, 600.00 W, 2542 MHz, 53, 31744 MiB
2026/09/21 20:05:19.923, 72.20 W, 600.00 W, 2542 MHz, 53, 31744 MiB
2026/09/21 20:05:20.924, 72.11 W, 600.00 W, 2542 MHz, 53, 31744 MiB
2026/09/21 20:05:21.924, 72.20 W, 600.00 W, 2542 MHz, 53, 31744 MiB
2026/09/21 20:05:22.925, 71.68 W, 600.00 W, 2542 MHz, 53, 31744 MiB
2026/09/21 20:05:23.925, 513.71 W, 600.00 W, 2752 MHz, 65, 31744 MiB
2026/09/21 20:05:24.926, 600.10 W, 600.00 W, 2730 MHz, 70, 31744 MiB
2026/09/21 20:05:25.927, 599.92 W, 600.00 W, 2707 MHz, 71, 31744 MiB
2026/09/21 20:05:26.927, 599.44 W, 600.00 W, 2692 MHz, 71, 31744 MiB
2026/09/21 20:05:27.928, 591.82 W, 600.00 W, 2745 MHz, 70, 31744 MiB
2026/09/21 20:05:28.929, 400.01 W, 600.00 W, 2872 MHz, 62, 31744 MiB
2026/09/21 20:05:29.930, 384.36 W, 600.00 W, 2880 MHz, 62, 31744 MiB
